"id","user_id","patient_id","action","entity_type","entity_id","details","old_value","new_value","ip_address","user_agent","performed_by","created_at"
"audit_1782108382967",,"PATIENT-DEMO","CONSENT_REVOKED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T06:06:22.960Z"""
"audit_1782109745767",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T06:29:05.764Z"""
"audit_1782110916460",,"PATIENT-DEMO","CONSENT_REVOKED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T06:48:36.455Z"""
"audit_1782111780983",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T07:03:00.977Z"""
"audit_1782112795326",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T07:19:55.319Z"""
"audit_1782112832521",,"PATIENT-DEMO","CONSENT_REVOKED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T07:20:32.518Z"""
"audit_1782113433656",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T07:30:33.652Z"""
"audit_1782113714955",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T07:35:14.950Z"""
"audit_1782114382993",,"PATIENT-DEMO","CONSENT_REVOKED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T07:46:22.989Z"""
"audit_1782114765362",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T07:52:45.358Z"""
"audit_1782115060339",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T07:57:40.332Z"""
"audit_1782115586683",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T08:06:26.669Z"""
"audit_1782115836144",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T08:10:36.140Z"""
"audit_1782116465514",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T08:21:05.511Z"""
"audit_1782116582464",,"PATIENT-DEMO","CONSENT_REVOKED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T08:23:02.458Z"""
"audit_1782117523351",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-22T08:38:43.345Z"""
"audit_1782194407190",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-23T06:00:07.186Z"""
"audit_1782197621815",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-23T06:53:41.810Z"""
"audit_1782207891973",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-23T09:44:51.969Z"""
"audit_1782208125804",,"PATIENT-DEMO","CONSENT_REVOKED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-23T09:48:45.801Z"""
"audit_1782208551982",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-23T09:55:51.976Z"""
"audit_1782211759742",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-23T10:49:19.739Z"""
"audit_1782270581743",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-24T03:09:41.739Z"""
"audit_1782272555521",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-24T03:42:35.514Z"""
"audit_1782274315989",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-24T04:11:55.985Z"""
"audit_1782274535423",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-24T04:15:35.415Z"""
"audit_1782274935063",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-24T04:22:15.060Z"""
"audit_1782275687621",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-24T04:34:47.561Z"""
"audit_1782276043250",,"PATIENT-DEMO","CONSENT_GRANTED",,,"{""consentId"":""data_sharing""}",,,,,,"""2026-06-24T04:40:43.244Z"""
